,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,Positive_score,Negitive_score,Polerity_Score,Average_Sentence_length,Percentage_of_complex_words,Fog_index,Complex_word_count,Word_count,Uncertainity_score,Constraining_score
0,3662,SUNBEAM CORP/FL/,199803,1998-03-06,10-K405,edgar/data/3662/0000950170-98-000413.txt,42,180,-0.6216216188215242,5.2375241662638965,0.4013484597682587,2.2555490504128617,69587,173383,13,79
1,3662,SUNBEAM CORP/FL/,199805,1998-05-15,10-Q,edgar/data/3662/0000950170-98-001001.txt,27,71,-0.4489795872553104,6.780397096754844,0.39884638522240706,2.8716973927909004,45084,113036,16,86
2,3662,SUNBEAM CORP/FL/,199808,1998-08-13,NT 10-Q,edgar/data/3662/0000950172-98-000783.txt,2,1,0.33333322222225925,38.28,0.3866248693834901,15.466649947753394,370,957,0,0
3,3662,SUNBEAM CORP/FL/,199811,1998-11-12,10-K/A,edgar/data/3662/0000950170-98-002145.txt,21,88,-0.6146788934433131,5.737255160588274,0.39007287858932793,2.450931215671041,33934,86994,13,42
4,3662,SUNBEAM CORP/FL/,199811,1998-11-16,NT 10-Q,edgar/data/3662/0000950172-98-001203.txt,2,1,0.33333322222225925,39.66666666666666,0.3680672268907563,16.01389355742297,438,1190,0,0
5,3662,SUNBEAM CORP/FL/,199811,1998-11-25,10-Q/A,edgar/data/3662/0000950170-98-002278.txt,2,14,-0.7499999531250029,3.6508282476024414,0.37528358208955226,1.6104447318767976,6286,16750,0,3
6,3662,SUNBEAM CORP/FL/,199812,1998-12-22,10-Q,edgar/data/3662/0000950170-98-002401.txt,9,28,-0.5135134996347703,4.2099108317497445,0.3673958333333333,1.8309226660332312,10581,28800,9,13
7,3662,SUNBEAM CORP/FL/,199812,1998-12-22,10-Q,edgar/data/3662/0000950170-98-002402.txt,3,15,-0.6666666296296316,3.3738514548238903,0.3723687943262412,1.4984880996600525,6563,17625,3,5
8,3662,SUNBEAM CORP/FL/,199903,1999-03-31,NT 10-K,edgar/data/3662/0000950172-99-000362.txt,2,1,0.33333322222225925,39.142857142857146,0.3795620437956204,15.808967674661107,416,1096,0,0
9,3662,SUNBEAM CORP/FL/,199905,1999-05-11,10-K,edgar/data/3662/0000950170-99-000775.txt,17,51,-0.499999992647059,5.514364499166347,0.3929248409717296,2.3629157360552298,33788,85991,17,18
10,3662,SUNBEAM CORP/FL/,199905,1999-05-17,NT 10-Q,edgar/data/3662/0000950172-99-000584.txt,2,1,0.33333322222225925,40.96296296296296,0.3734177215189873,16.53455227379278,413,1106,0,0
11,3662,SUNBEAM CORP/FL/,199906,1999-06-11,10-Q,edgar/data/3662/0000950170-99-001005.txt,2,7,-0.5555554938271674,3.66281179138322,0.3940444499473782,1.6227424965322392,6365,16153,4,3
12,3662,SUNBEAM CORP/FL/,199908,1999-08-16,NT 10-Q,edgar/data/3662/0000950172-99-001074.txt,2,1,0.33333322222225925,38.22222222222222,0.372093023255814,15.437726098191217,384,1032,0,0
13,3662,SUNBEAM CORP/FL/,199908,1999-08-19,10-Q,edgar/data/3662/0000950170-99-001361.txt,2,10,-0.6666666111111158,6.850078084331077,0.3906451858043925,2.896289308054188,10281,26318,7,8
14,3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-K/A,edgar/data/3662/0000889812-99-003241.txt,9,20,-0.3793103317479196,2.577433628318584,0.3867811158798283,1.185685897679365,24783,64075,11,13
15,3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-Q/A,edgar/data/3662/0000950170-99-001639.txt,2,10,-0.6666666111111158,5.674606378683892,0.391327546955037,2.426373570255572,11001,28112,7,10
16,3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-Q/A,edgar/data/3662/0000950170-99-001640.txt,2,10,-0.6666666111111158,5.260083160083161,0.3927117505236947,2.2611179642427417,9936,25301,6,8
17,3662,SUNBEAM CORP/FL/,199911,1999-11-15,NT 10-Q,edgar/data/3662/0000950172-99-001626.txt,2,1,0.33333322222225925,34.44444444444444,0.3870967741935484,13.9326164874552,360,930,0,0
18,3662,SUNBEAM CORP/FL/,199911,1999-11-19,10-Q,edgar/data/3662/0000950170-99-001856.txt,2,18,-0.7999999600000021,6.920890479030013,0.39461213705160975,2.9262010464326496,13740,34819,10,13
19,3982,ALLIS CHALMERS ENERGY INC.,200603,2006-03-22,10-K,edgar/data/3982/0000950129-06-002926.txt,7,28,-0.5999999828571434,68.85960044395117,0.3735544183422654,27.693261944917367,92705,248170,3,13
20,3982,ALLIS CHALMERS ENERGY INC.,200605,2006-05-01,10-K/A,edgar/data/3982/0000950129-06-004690.txt,3,0,0.9999996666667778,51.75445816186557,0.37536112804474014,20.851927715964123,14162,37729,0,0
21,3982,ALLIS CHALMERS ENERGY INC.,200605,2006-05-10,10-Q,edgar/data/3982/0000950129-06-005244.txt,4,13,-0.5294117335640156,57.56488203266788,0.3186651218147281,23.153418861793046,40430,126873,2,18
22,3982,ALLIS CHALMERS ENERGY INC.,200607,2006-07-24,10-K/A,edgar/data/3982/0000950129-06-007243.txt,4,1,0.5999998800000239,104.25636942675159,0.3891145968567196,41.858193609443326,50953,130946,2,2
23,3982,ALLIS CHALMERS ENERGY INC.,200607,2006-07-24,10-Q/A,edgar/data/3982/0000950129-06-007244.txt,2,1,0.33333322222225925,50.299065420560744,0.2832125603864734,20.23291119237889,12194,43056,1,0
24,3982,ALLIS CHALMERS ENERGY INC.,200608,2006-08-14,10-Q,edgar/data/3982/0000950129-06-007871.txt,2,0,0.9999995000002501,49.76944704779756,0.27662699608315755,20.01842961755229,14690,53104,2,0
25,3982,ALLIS CHALMERS ENERGY INC.,200611,2006-11-08,10-Q,edgar/data/3982/0000950129-06-009522.txt,2,0,0.9999995000002501,65.49882352941178,0.2636778388475769,26.305000547303727,22020,83511,3,0
26,3982,ALLIS CHALMERS ENERGY INC.,200612,2006-12-29,10-Q/A,edgar/data/3982/0000950134-06-023819.txt,9,4,0.3846153550295881,57.479553903345725,0.3061468669734095,23.114280308127647,66271,216468,3,2
27,3982,ALLIS CHALMERS ENERGY INC.,200703,2007-03-15,10-K,edgar/data/3982/0000950129-07-001381.txt,4,3,0.1428571224489825,69.89022556390978,0.3798868257417648,28.10804495586062,88280,232385,6,2
28,3982,ALLIS CHALMERS ENERGY INC.,200705,2007-05-10,10-Q,edgar/data/3982/0000950129-07-002432.txt,5,39,-0.7727272551652897,59.676,0.3250977500726143,24.00043910002905,72752,223785,20,28
29,3982,ALLIS CHALMERS ENERGY INC.,200708,2007-08-09,10-Q,edgar/data/3982/0000950129-07-003918.txt,2,0,0.9999995000002501,70.22504892367904,0.2530444475407552,28.19123734848793,18161,71770,2,0
30,3982,ALLIS CHALMERS ENERGY INC.,200711,2007-11-06,10-Q,edgar/data/3982/0000950129-07-005361.txt,2,0,0.9999995000002501,73.32707253886011,0.2622751000291476,29.4357390555557,29694,113217,2,1
31,3982,ALLIS CHALMERS ENERGY INC.,200803,2008-03-07,10-K,edgar/data/3982/0000950129-08-001569.txt,4,2,0.33333327777778704,69.61001164144353,0.379341918220587,27.99574142386565,90731,239180,4,2
32,3982,ALLIS CHALMERS ENERGY INC.,200804,2008-04-29,10-K/A,edgar/data/3982/0000950129-08-002507.txt,3,0,0.9999996666667778,46.050349650349645,0.2886928263378485,18.535616990675003,19011,65852,0,0
33,4447,AMERADA HESS CORP,200311,2003-11-12,10-Q,edgar/data/4447/0000950123-03-012528.txt,3,1,0.4999998750000312,59.532822757111596,0.27405215665374083,23.922749965506128,14912,54413,0,0
34,4447,AMERADA HESS CORP,200403,2004-03-12,10-K,edgar/data/4447/0000950123-04-003250.txt,4,9,-0.3846153550295881,44.3906673901248,0.19543587737740184,17.834441307000876,47967,245436,1,0
35,4447,AMERADA HESS CORP,200403,2004-03-15,10-K/A,edgar/data/4447/0000950123-04-003322.txt,2,0,0.9999995000002501,129.5569105691057,0.2664804995136645,51.92935642744775,8493,31871,0,0
36,4447,AMERADA HESS CORP,200405,2004-05-07,10-Q,edgar/data/4447/0000950123-04-005950.txt,3,0,0.9999996666667778,85.78021978021978,0.27583909812964386,34.42242355133977,10766,39030,0,0
37,4447,AMERADA HESS CORP,200408,2004-08-06,10-Q,edgar/data/4447/0000950123-04-009350.txt,3,0,0.9999996666667778,89.08333333333331,0.2596819457436857,35.737206111630805,12492,48105,0,0
38,4447,AMERADA HESS CORP,200411,2004-11-05,10-Q,edgar/data/4447/0000950123-04-013054.txt,3,25,-0.7857142576530622,80.41863207547169,0.2818535083217245,32.28019423351737,19221,68195,0,0
39,4447,AMERADA HESS CORP,200503,2005-03-14,10-K,edgar/data/4447/0000950123-05-003078.txt,5,27,-0.6874999785156257,38.14569183646291,0.3404879274951473,15.394471905583224,97528,286436,1,10
40,4447,AMERADA HESS CORP,200505,2005-05-06,10-Q,edgar/data/4447/0000950123-05-005767.txt,3,0,0.9999996666667778,91.68879668049792,0.2805584468479884,36.78774205093837,12399,44194,0,0
41,4447,AMERADA HESS CORP,200508,2005-08-05,10-Q,edgar/data/4447/0000950123-05-009475.txt,3,0,0.9999996666667778,94.84440842787683,0.25313146157658195,38.039015955781366,14813,58519,2,0
42,4447,AMERADA HESS CORP,200511,2005-11-07,10-Q,edgar/data/4447/0000950123-05-013153.txt,3,0,0.9999996666667778,103.13451327433629,0.2605584252887371,41.35802867985001,15183,58271,0,0
43,4457,AMERCO /NV/,199911,1999-11-08,10-Q,edgar/data/4457/0000004457-99-000043.txt,2,2,0.0,11.825168107588857,0.33095044679122665,4.862447421752035,4074,12310,2,2
44,4457,AMERCO /NV/,200002,2000-02-10,10-Q,edgar/data/4457/0000004457-00-000018.txt,2,2,0.0,11.65615763546798,0.3312484151804581,4.794962420259377,3919,11831,2,2
45,4457,AMERCO /NV/,200006,2000-06-29,10-K,edgar/data/4457/0000004457-00-000067.txt,30,71,-0.4059405900401922,11.142257462686567,0.36500062790405613,4.60290323623625,34878,95556,8,25
46,4457,AMERCO /NV/,200008,2000-08-11,10-Q,edgar/data/4457/0000004457-00-000080.txt,2,2,0.0,11.954828660436135,0.3334201954397394,4.915299542350351,2559,7675,2,2
47,4457,AMERCO /NV/,200011,2000-11-13,10-Q,edgar/data/4457/0000004457-00-000105.txt,5,6,-0.09090908264462884,17.47517123287671,0.3588751163588261,7.133618539694217,7325,20411,2,2
48,4457,AMERCO /NV/,200102,2001-02-14,10-Q,edgar/data/4457/0000004457-01-500024.txt,4,2,0.33333327777778704,15.996233521657249,0.35731104308923944,6.5414178258985975,6070,16988,2,1
49,4457,AMERCO /NV/,200107,2001-07-02,10-K,edgar/data/4457/0000004457-01-500063.txt,7,6,0.07692307100591762,14.366449511400653,0.3398991044099309,5.882539446324233,11993,35284,4,2
50,4457,AMERCO /NV/,200107,2001-07-02,NT 10-K,edgar/data/4457/0000004457-01-500060.txt,2,1,0.33333322222225925,25.952380952380953,0.3605504587155963,10.52517256443862,393,1090,0,0
51,4457,AMERCO /NV/,200108,2001-08-10,10-Q,edgar/data/4457/0000004457-01-500081.txt,2,0,0.9999995000002501,12.126373626373624,0.3455671348738861,4.988776304499005,2288,6621,2,1
52,4457,AMERCO /NV/,200108,2001-08-10,10-Q/A,edgar/data/4457/0000004457-01-500083.txt,2,1,0.33333322222225925,12.236292428198436,0.3294569508161741,5.026299751605844,3088,9373,5,1
53,4515,AMERICAN AIRLINES INC,200810,2008-10-16,10-Q,edgar/data/4515/0000004515-08-000073.txt,2,348,-0.9885714257469388,94.43092105263158,0.3790215427795112,37.92397703816444,76164,200949,9,0
54,4515,AMERICAN AIRLINES INC,200902,2009-02-19,10-K,edgar/data/4515/0000004515-09-000008.txt,6,1252,-0.9904610484972488,80.46142109851787,0.3871211977559683,32.33941691850954,285817,738314,6,4
55,4515,AMERICAN AIRLINES INC,200904,2009-04-16,10-Q,edgar/data/4515/0000004515-09-000018.txt,2,26,-0.8571428265306134,92.89451022604952,0.4092863184973175,37.32151861781874,35321,86299,7,0
56,4515,AMERICAN AIRLINES INC,200907,2009-07-15,10-Q,edgar/data/4515/0000004515-09-000029.txt,2,187,-0.9788359736569524,104.92248435243141,0.3957893577577504,42.12730948407565,86252,217924,7,0
57,4515,AMERICAN AIRLINES INC,200910,2009-10-21,10-Q,edgar/data/4515/0000004515-09-000039.txt,2,38,-0.8999999775000006,99.35123367198837,0.4115159306385403,39.90509984105077,56339,136906,5,0
58,4515,AMERICAN AIRLINES INC,200911,2009-11-06,10-Q/A,edgar/data/4515/0000004515-09-000041.txt,2,61,-0.9365079216427314,82.98206278026906,0.35611996757633074,33.335273099138156,6590,18505,0,0
59,4515,AMERICAN AIRLINES INC,201002,2010-02-17,10-K,edgar/data/4515/0000004515-10-000006.txt,3,111,-0.9473684127423824,98.83206106870227,0.4157576901841983,39.69912750355459,145336,349569,3,0
60,4515,AMERICAN AIRLINES INC,201004,2010-04-21,10-Q,edgar/data/4515/0000004515-10-000016.txt,2,26,-0.8571428265306134,97.53353353353351,0.4102590418325876,39.177517030146454,39974,97436,5,0
61,4515,AMERICAN AIRLINES INC,201007,2010-07-21,10-Q,edgar/data/4515/0000950123-10-066865.txt,3,220,-0.9730941660399364,29.900119562218343,0.2263860180126975,12.050602232092414,73599,325104,4,0
62,4515,AMERICAN AIRLINES INC,201010,2010-10-20,10-Q,edgar/data/4515/0000950123-10-094615.txt,2,0,0.9999995000002501,34.202715355805246,0.27048286497757457,13.789279288313127,59282,219171,0,0
63,4962,AMERICAN EXPRESS CO,201404,2014-04-29,10-Q,edgar/data/4962/0001193125-14-167067.txt,0,328,-0.9999999969512195,22.043480121172706,0.20059496334760246,8.897630033808122,516724,2575957,4,3
64,4962,AMERICAN EXPRESS CO,201407,2014-07-30,10-Q,edgar/data/4962/0001193125-14-286961.txt,0,294,-0.9999999965986396,22.59575192271483,0.1996838620620693,9.11817431391076,623045,3120157,3,0
65,5588,AMERICAN PAD & PAPER CO,199611,1996-11-06,10-Q,edgar/data/5588/0000930661-96-001510.txt,2,5,-0.4285713673469475,17.20517560073937,0.3500214868929953,7.022078835052946,3258,9308,0,1
66,5588,AMERICAN PAD & PAPER CO,199703,1997-03-31,10-K,edgar/data/5588/0000950134-97-002428.txt,4,21,-0.6799999728000009,13.923714355349743,0.3950883089149119,5.727521065705862,22571,57129,4,6
67,5588,AMERICAN PAD & PAPER CO,199705,1997-05-15,10-Q,edgar/data/5588/0000950134-97-003934.txt,2,2,0.0,12.612280701754385,0.363611072471832,5.190356709690487,2614,7189,1,1
68,5588,AMERICAN PAD & PAPER CO,199708,1997-08-14,10-Q,edgar/data/5588/0000950134-97-006223.txt,2,2,0.0,19.667542706964518,0.3826418119863701,8.020073807580358,5727,14967,1,1
69,5588,AMERICAN PAD & PAPER CO,199711,1997-11-14,10-Q,edgar/data/5588/0000950134-97-008577.txt,2,2,0.0,10.426611796982169,0.3707406920142087,4.318940995598551,2818,7601,1,1
70,5588,AMERICAN PAD & PAPER CO,199803,1998-03-27,10-K,edgar/data/5588/0000950134-98-002477.txt,5,7,-0.16666665277777895,2.3160405134848663,0.3765731865449645,1.0770454800119322,14811,39331,4,7
71,5588,AMERICAN PAD & PAPER CO,199805,1998-05-14,10-Q,edgar/data/5588/0000950134-98-004241.txt,2,3,-0.199999960000008,1.4761684405367883,0.3835423197492163,0.743884304114402,2447,6380,1,2
72,5588,AMERICAN PAD & PAPER CO,199808,1998-08-14,10-Q,edgar/data/5588/0000950134-98-006988.txt,2,3,-0.199999960000008,3.9071509648127125,0.3823136366277381,1.7157858405761806,6580,17211,2,5
73,5588,AMERICAN PAD & PAPER CO,199811,1998-11-13,10-Q,edgar/data/5588/0000005588-98-000008.txt,2,4,-0.33333327777778704,2.8783494105037515,0.3739837398373984,1.3009332601364598,6026,16113,0,2
