Model, MRP, Price, Avalability_status, Rating, Ram_Rom, Display, Camera, Battery
Nokia 5.1 Plus (Black| 32 GB),13199,10999,Coming Soon,4.6,3 GB RAM | 32 GB ROM | Expandable Upto 400 GB,14.73 cm (5.8 inch) HD+ Display,13MP + 5MP | 8MP Front Camera,3060 mAh Battery
Nokia 5.1 Plus (Blue| 32 GB),13199,10999,Coming Soon,4.6,3 GB RAM | 32 GB ROM | Expandable Upto 400 GB,14.73 cm (5.8 inch) HD+ Display,13MP + 5MP | 8MP Front Camera,3060 mAh Battery
Honor 7A (Gold| 32 GB),10999,8999,Available,4.2,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.48 cm (5.7 inch) HD+ Display,13MP + 2MP | 8.0MP Front Camera,3000 mAh Battery
Honor 7A (Blue| 32 GB),10999,8999,Available,4.2,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.48 cm (5.7 inch) HD+ Display,13MP + 2MP | 8.0MP Front Camera,3000 mAh Battery
Honor 7A (Black| 32 GB),10999,8999,Available,4.2,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.48 cm (5.7 inch) HD+ Display,13MP + 2MP | 8.0MP Front Camera,3000 mAh Battery
Asus Zenfone Max Pro M1 (Black| 32 GB),10999,10999,Available,4.2,3 GB RAM | 32 GB ROM | Expandable Upto 2 TB,15.21 cm (5.99 inch) Full HD+ Display,13MP + 5MP | 8MP Front Camera,5000 mAh Battery
Asus Zenfone Max Pro M1 (Black| 64 GB),12999,12999,Available,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,15.21 cm (5.99 inch) Full HD+ Display,13MP + 5MP | 8MP Front Camera,5000 mAh Battery
Honor 7S (Blue| 16 GB),8999,6999,Coming Soon,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) Display,13MP Rear Camera | 5MP Front Camera,3020 mAh Battery
Honor 7S (Black| 16 GB),8999,6999,Coming Soon,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) Display,13MP Rear Camera | 5MP Front Camera,3020 mAh Battery
Redmi 6 (Gold| 32 GB),8999,7999,Coming Soon,4.5,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery
Honor 9N (Sapphire Blue| 32 GB),13999,11999,Available,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery
Honor 9N (Midnight Black| 32 GB),13999,11999,Available,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery
Asus Zenfone Max Pro M1 (Grey| 32 GB),10999,10999,Available,4.2,3 GB RAM | 32 GB ROM | Expandable Upto 2 TB,15.21 cm (5.99 inch) Full HD+ Display,13MP + 5MP | 8MP Front Camera,5000 mAh Battery
Vivo Y81 (Black| 32 GB),13990,11990,Available,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,3260 mAh Li-ion Battery
Honor 9 Lite (Glacier Grey| 32 GB),13999,10999,Available,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.35 cm (5.65 inch) FHD+ Display,13MP + 2MP | 13MP + 2MP Dual Front Camera,3000 mAh Battery
Honor 9 Lite (Midnight Black| 32 GB),13999,10999,Available,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.35 cm (5.65 inch) FHD+ Display,13MP + 2MP | 13MP + 2MP Dual Front Camera,3000 mAh Battery
Vivo Y81 (Gold| 32 GB),13990,11990,Available,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,3260 mAh Li-ion Battery
Honor 9 Lite (Sapphire Blue| 32 GB),13999,10999,Available,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.35 cm (5.65 inch) FHD+ Display,13MP + 2MP | 13MP + 2MP Dual Front Camera,3000 mAh Battery
Intex Indie 6 (Black| 16 GB),8499,4499,Available,4.2,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 8MP + 2MP Dual Front Camera,2400 mAh Li-ion Battery
Intex Indie 6 (Champagne| 16 GB),8499,4499,Available,4.2,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 8MP + 2MP Dual Front Camera,2400 mAh Li-ion Battery
Infinix Smart 2 (Serene Gold| 16 GB),6999,5999,Available,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) HD+ Display,13MP Rear Camera | 8MP Front Camera,3050 mAh Li-ion Polymer Battery
Infinix Smart 2 (Sandstone Black| 16 GB),6999,5999,Available,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) HD+ Display,13MP Rear Camera | 8MP Front Camera,3050 mAh Li-ion Polymer Battery
Redmi 5A (Grey| 32 GB),6999,6999,Coming Soon,4.4,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery
Redmi 5A (Blue| 32 GB),6999,6999,Coming Soon,4.4,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery
Redmi 5A (Gold| 16 GB),5999,5999,Coming Soon,4.5,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery
Redmi 5A (Grey| 16 GB),5999,5999,Coming Soon,4.5,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery
Redmi 5A (Rose Gold| 32 GB),6999,6999,Coming Soon,4.4,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery
Redmi 5A (Rose Gold| 16 GB),5999,5999,Coming Soon,4.5,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery
Samsung Galaxy J2 Core (Gold| 8 GB),7000,6190,Available,4.2,1 GB RAM | 8 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) quarter HD Display,8MP Rear Camera | 5MP Front Camera,2600 mAh Battery
Samsung Galaxy J2 Core (Black| 8 GB),7000,6190,Available,4.2,1 GB RAM | 8 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) quarter HD Display,8MP Rear Camera | 5MP Front Camera,2600 mAh Battery
Samsung Galaxy J4 (Gold| 16 GB),10990,8990,Available,4.3,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery
OPPO A71 New Edition (Gold| 16 GB),10990,9990,Available,4.2,3 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.21 cm (5.2 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Lithium Battery
OPPO A3s (Purple| 16 GB),11990,10990,Available,4.3,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Battery
OPPO A3s (Red| 32 GB),13990,12990,Available,4.4,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Battery
Redmi 6 (Black| 32 GB),8999,7999,Coming Soon,4.5,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery
OPPO A3s (Purple| 32 GB),13990,12990,Available,4.4,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Battery
Samsung Galaxy J3 Pro (Black| 16 GB),8490,7490,Available,4.2,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,2600 mAh Battery
OPPO A3s (Red| 16 GB),11990,10990,Available,4.3,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Battery
Redmi 6 (Blue| 32 GB),8999,7999,Coming Soon,4.5,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery
Lava Z61 (Gold| 16 GB),6500,6500,Available,4.1,1 GB RAM | 16 GB ROM | Expandable Upto 32 GB,13.84 cm (5.45 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Battery
Samsung Galaxy J7 Prime (Gold| 32 GB),11950,11950,Available,4.2,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3300 mAh Battery
Redmi 5 (Black| 64 GB),11999,11999,Available,4.1,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,14.48 cm (5.7 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,3300 mAh Battery
Samsung Galaxy J2 2018 (Black| 16 GB),8200,7690,Available,4.2,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) Display,8MP Rear Camera | 5MP Front Camera,2600 mAh Battery
iVooMi iPro (Platinum Gold| 8 GB),5499,3999,Available,4.2,1 GB RAM | 8 GB ROM | Expandable Upto 128 GB,12.57 cm (4.95 inch) FWVGA Display,5MP Rear Camera | 5MP Front Camera,2000 mAh Li-ion Battery
iVooMi iPro (Indie Blue| 8 GB),5499,3999,Available,4.2,1 GB RAM | 8 GB ROM | Expandable Upto 128 GB,12.57 cm (4.95 inch) FWVGA Display,5MP Rear Camera | 5MP Front Camera,2000 mAh Li-ion Battery
Samsung Galaxy J7 Prime 2 (Gold| 32 GB),14990,10990,Available,4.3,3 GB RAM | 32 GB ROM |,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 13MP Front Camera,3300 mAh Li-ion Battery
Lenovo K8 Plus (Venom Black| 32 GB),10999,9999,Available,4.1,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,13MP + 5MP | 8MP Front Camera,4000 mAh Battery
Samsung Galaxy J7 Nxt (Gold| 16 GB),10990,9490,Available,4.3,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery
Panasonic P90 (Black| 16 GB),5999,4999,Available,4.7,1 GB RAM | 16 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,5MP Rear Camera | 5MP Front Camera,2400 mAh Lithium-ion Battery
Samsung Galaxy J2 Pro (Gold| 16 GB),8200,7690,Available,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,2600 mAh Battery
Samsung Galaxy J4 (Blue| 16 GB),10990,8990,Available,4.3,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery
Moto G5s Plus (Lunar Grey| 64 GB),12885,12885,Available,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP + 13MP | 8MP Front Camera,3000 mAh Lithium-ion Battery
Gionee M7 Power (Black| 64 GB),12884,12884,Available,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.24 cm (6.0 inch) HD+ Display,13MP Rear Camera | 8MP Front Camera,5000 mAh Li-poly Battery
Lava Z61 (Black| 16 GB),5750,5750,Available,4.1,1 GB RAM | 16 GB ROM | Expandable Upto 32 GB,13.84 cm (5.45 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Battery
Samsung Galaxy J3 Pro (White| 16 GB),8490,7490,Available,4.2,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,2600 mAh Battery
Micromax Canvas Infinity (Black| 32 GB),9999,8490,Available,4.1,3 GB RAM | 32 GB ROM |,14.48 cm (5.7 inch) HD Display,13MP Rear Camera | 16MP Front Camera,2900 mAh Polymer Battery
Moto G5s (Lunar Gray| 32 GB),10899,10899,Available,4.1,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,16MP Rear Camera | 5MP Front Camera,3000 mAh Polymer Battery
Moto G5s (Fine Gold| 32 GB),10899,10899,Available,4.1,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,16MP Rear Camera | 5MP Front Camera,3000 mAh Polymer Battery
Samsung Galaxy J6 (Gold| 32 GB),14990,12490,Available,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.22 cm (5.6 inch) HD+ Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Battery
Samsung Galaxy J7 Duo (Black| 32 GB),17990,12990,Available,4.3,4 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP + 5MP | 8MP Front Camera,3000 mAh Battery
Lenovo K8 Plus (Fine Gold| 32 GB),10999,9999,Available,4.1,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,13MP + 5MP | 8MP Front Camera,4000 mAh Battery
Honor 7C (Blue| 32 GB),10800,10800,Available,4.1,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) Display,13MP + 2MP | 8MP Front Camera,3000 mAh Battery
Vivo Y71 (Gold| 16 GB),11990,10990,Available,4.3,3 GB RAM | 16 GB ROM | Expandable Upto 256 GB,15.24 cm (6.0 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,3360 mAh Li-ion Battery
Vivo Y71 (Matte Black| 32 GB),13990,11990,Available,4.2,4 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.24 cm (6.0 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,3360 mAh Li-ion Battery
Vivo Y71 (Matte Black| 16 GB),11990,10990,Available,4.3,3 GB RAM | 16 GB ROM | Expandable Upto 256 GB,15.24 cm (6.0 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,3360 mAh Li-ion Battery
Nokia 2.1 (Grey| 8 GB),7099,7099,Available,4.2,1 GB RAM | 8 GB ROM |,13.97 cm (5.5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,4000 mAh Battery
Vivo Y71 (Gold| 32 GB),12750,12750,Available,4.2,4 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.24 cm (6.0 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,3360 mAh Li-ion Battery
Asus Zenfone 2 Laser (Black| 16 GB),8990,8990,Available,4.2,3 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-Polymer Battery
Samsung Galaxy J2 Pro (Black| 16 GB),8200,7690,Available,4.1,2 GB RAM | 16 GB ROM |,12.7 cm (5 inch) Display,8MP Rear Camera,2600 mAh Battery
Samsung Galaxy On7 (Gold| 8 GB),8490,8490,Available,4.2,1.5 GB RAM | 8 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-Ion Battery
Honor 7X (Blue| 32 GB),12990,12990,Available,4.2,4 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.06 cm (5.93 inch) Full HD+ Display,16MP + 2MP | 8MP Front Camera,3340 mAH Lithium-polymer Battery
Samsung Galaxy J7 Nxt (Black| 32 GB),10990,10990,Available,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery
Karbonn Frames S9 (Grey| 16 GB),6099,6099,Available,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,13.21 cm (5.2 inch) HD Display,8MP Rear Camera | 8MP + 8MP Dual Front Camera,2900 mAh Battery
Karbonn Frames S9 (Black| 16 GB),6099,6099,Available,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,13.21 cm (5.2 inch) HD Display,8MP Rear Camera | 8MP + 8MP Dual Front Camera,2900 mAh Battery
Honor 7X (Black| 32 GB),12499,12499,Available,4.2,4 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.06 cm (5.93 inch) Full HD+ Display,16MP + 2MP | 8MP Front Camera,3340 mAH Lithium-polymer Battery
Samsung Galaxy J4 Plus (Black| 32 GB),12000,10990,Coming Soon,4.2,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.24 cm (6 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,3300 mAh Lithium-ion Battery
Tecno Camon I Ace (Gold| 16 GB),6690,6690,Available,4.1,2 GB RAM | 16 GB ROM |,13.84 cm (5.45 inch) HD+ Display,13MP Rear Camera | 8MP Front Camera,3050 mAh Battery
Tecno Camon I Ace (Black| 16 GB),6690,6690,Available,4.1,2 GB RAM | 16 GB ROM |,13.84 cm (5.45 inch) HD+ Display,13MP Rear Camera | 8MP Front Camera,3050 mAh Battery
OPPO A71K (Blue| 16 GB),9190,9190,Available,4.2,3 GB RAM | 16 GB ROM |,13.21 cm (5.2 inch) Display,13MP Rear Camera,3000 mAh Battery
Samsung Galaxy J5 Prime (Gold| 32 GB),13900,11990,Available,4.2,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2400 mAh Li-Ion Battery
Samsung Galaxy On Nxt (Black| 16 GB),10999,10999,Available,4.2,3 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3300 mAh Li-ion Battery
Samsung On7 Pro (Gold| 16 GB),8599,8599,Available,4.3,2 GB RAM | 16 GB ROM |,13.97 cm (5.5 inch) Display,13MP Rear Camera,3000 mAh Battery
Vivo Y53 (Crown Gold| 16 GB),9990,8490,Available,4.2,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) Display,8MP Rear Camera | 5MP Front Camera,2500 mAh Li-Ion Battery
Vivo Y53 (Space Grey| 16 GB),9990,9990,Available,4.2,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) Display,8MP Rear Camera | 5MP Front Camera,2500 mAh Li-Ion Battery
Tecno Camon i (Champagne Gold| 32 GB),9400,9400,Available,4.1,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,14.35 cm (5.65 inch) HD+ Display,13MP Rear Camera | 13MP Front Camera,3050 mAh Battery
Obi WorldPhone (Black| 16 GB),6499,6499,Available,4.5,2 GB RAM | 16 GB ROM |,12.7 cm (5 inch) Display,13MP Rear Camera,3000 mAh Battery
Nokia 5 (Silver| 16 GB),11290,11290,Available,4.1,3 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Battery
Moto E5 (Grey/Flash Gray| 16 GB),9149,9149,Available,4.2,2 GB RAM | 16 GB ROM |,14.48 cm (5.7 inch) Display,13MP Rear Camera,4000 mAh Battery
Samsung Galaxy J4 (Blue| 32 GB),10988,10988,Available,4.4,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery
Tecno Camon i (Midnight Black| 32 GB),8749,8749,Available,4.1,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,14.35 cm (5.65 inch) HD+ Display,13MP Rear Camera | 13MP Front Camera,3050 mAh Battery
OPPO A57 (Black| 32 GB),11849,11849,Available,4.2,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.21 cm (5.2 inch) HD Display,13MP Rear Camera | 16MP Front Camera,2900 mAh Battery
Samsung Galaxy J2 (White| 8 GB),7400,7400,Available,4.1,1 GB RAM | 8 GB ROM | Expandable Upto 128 GB,11.94 cm (4.7 inch) quarter HD Display,5MP Rear Camera | 2MP Front Camera,2000 mAh Battery
Micromax Bharat Go (Black| 8 GB),4590,4590,Available,4.6,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,11.43 cm (4.5 inch) Display,5MP Rear Camera | 5MP Front Camera,2000 mAh Li-ion Battery
Tecno Camon i Sky (Champagne Gold| 16 GB),7090,7090,Available,4.5,2 GB RAM | 16 GB ROM |,13.84 cm (5.45 inch) Display,13MP Rear Camera,3050 mAh Battery
Tecno Camon I Sky 2 (Black| 16 GB),7448,7448,Available,4.6,2 GB RAM | 16 GB ROM |,13.97 cm (5.5 inch) HD+ Display,13MP + 2MP | 13MP Front Camera,3050 mAh Battery
OPPO A71 (Gold| 16 GB),9870,9870,Available,4.2,3 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.21 cm (5.2 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Lithium Battery
Honor 5X (Grey| 16 GB),12999,12999,Available,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-Polymer Battery
Samsung Galaxy J7 (White| 16 GB),11700,11700,Available,4.3,1.5 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery
Lenovo Vibe K5 Note (Silver| 32 GB),12499,12499,Available,4.1,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3500 mAh Li-Ion Polymer Battery
Itel A44 Pro (Black| 16 GB),6500,6500,Available,4.2,2 GB RAM | 16 GB ROM |,13.84 cm (5.45 inch) Display,8MP Rear Camera | 5MP Front Camera,2400 mAh Battery
Itel A44 Pro (Champagne| 16 GB),7950,7950,Available,4.2,2 GB RAM | 16 GB ROM |,13.84 cm (5.45 inch) Display,8MP Rear Camera | 5MP Front Camera,2400 mAh Battery
OPPO A83 (Champagne| 32 GB),12450,12450,Available,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.48 cm (5.7 inch) HD Display,13MP Rear Camera | 8MP Front Camera,3180 mAh Battery
Ziox Astra 4G (Black| 8 GB),4399,4399,Available,4.3,1 GB RAM | 8 GB ROM |,12.7 cm (5 inch) Display,5MP Rear Camera,2450 mAh Battery
Comio C1 Pro (Sunrise Gold| 16 GB),5249,5249,Available,4.3,1.5 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,2500 mAh Battery
Vivo Y55S (Grey| 16 GB),13000,13000,Available,4.2,3 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.21 cm (5.2 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2730 mAh Li-Ion Battery
