Model, MRP, Price, Avalability_status, Rating, Ram_Rom, Display, Camera, Battery
Honor 5X (Silver| 16 GB),12999,8999,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-Polymer Battery
Infinix Hot S3 (Sandstone Black| 32 GB),9999,8999,Out Of Stock,4.1,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,14.35 cm (5.65 inch) HD+ Display,13MP Rear Camera | 20MP Front Camera,4000 mAh Li-ion Polymer Battery
Samsung Galaxy J4 Plus (Blue| 32 GB),12000,10990,Coming Soon,4.2,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.24 cm (6 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,3300 mAh Lithium-ion Battery
Gionee M3 (Black| 8 GB),9599,9599,Out Of Stock,4.1,1 GB RAM | 8 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 2MP Front Camera,5000 mAh Battery
HTC Desire 820Q Dual Sim (Milky-way Grey| 16 GB),11990,11990,Out Of Stock,4.1,1 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 8MP Front Camera,2600 mAh Battery
LG Stylus 2 (Titan| 16 GB),11989,11989,Out Of Stock,4.1,2 GB RAM | 16 GB ROM |,14.48 cm (5.7 inch) HD Display,13MP Rear Camera,3000 mAh Battery
Redmi Note 5 (Rose Gold| 64 GB),11999,11999,Out Of Stock,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li Polymer Battery
Samsung Galaxy E5 (Black| 16 GB),9890,9890,Out Of Stock,4.2,1.5 GB RAM | 16 GB ROM | Expandable Upto 64 GB,12.7 cm (5 inch) Display,8MP Rear Camera | 5MP Front Camera,2400 mAh Li-Ion Battery
Samsung Galaxy Core Prime 4G (White| 8 GB),6999,6999,Out Of Stock,4.1,1 GB RAM | 8 GB ROM |,11.43 cm (4.5 inch) WVGA Display,5MP Rear Camera | 2MP Front Camera,2000 mAh Li-Ion Battery
Panasonic Eluga S (Black| 8 GB),4490,4490,Out Of Stock,4.1,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,2100 mAh Battery
Asus Zenfone 3 (Black| 32 GB),11999,11999,Out Of Stock,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 2 TB,13.21 cm (5.2 inch) Full HD Display,16MP Rear Camera | 8MP Front Camera,2650 mAh Battery
Huawei Honor 8 (Sakura Pink| 32 GB),12999,12999,Out Of Stock,4.6,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Display,12MP Rear Camera | 8MP Front Camera,3000 mAh Battery
Asus Zenfone 4 Selfie (Rose Pink| 32 GB),10999,10999,Out Of Stock,4.1,3 GB RAM | 32 GB ROM | Expandable Upto 2 TB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 13MP Front Camera,3000 mAh Battery
HTC Desire 820Q Dual Sim (Santorini White| 16 GB),12490,12490,Out Of Stock,4.1,1 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 8MP Front Camera,2600 mAh Battery
Gionee Marathon (Grey| 16 GB),11999,11999,Out Of Stock,4.5,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery
Gionee Marathon (White| 16 GB),11999,11999,Out Of Stock,4.5,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery
Gionee F103 (Pearl White| 16 GB),10599,10599,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,2400 mAh Li-Polymer Battery
Microsoft Lumia 640 (Black| 8 GB),8999,8999,Out Of Stock,4.1,1 GB RAM | 8 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 0.9MP Front Camera,2500 mAh Battery
Lenovo P770 (Grey| 4 GB),12899,12899,Out Of Stock,4.3,1 GB RAM | 4 GB ROM | Expandable Upto 32 GB,11.43 cm (4.5 inch) quarter HD Display,5MP Rear Camera | 0.3MP Front Camera,3500 mAh Li-Ion Battery
Asus Zenfone Max (Black| 32 GB),9999,7499,Out Of Stock,4.1,2 GB RAM | 32 GB ROM | Expandable Upto 64 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery
Asus Zenfone Max (White| 16 GB),9999,7499,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Li-Polymer Battery
Micromax Canvas 2.2 A114 (White| 1 GB),9999,9999,Out Of Stock,4.1,1 GB RAM | 1 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) quarter HD Display,8MP Rear Camera | 2MP Front Camera,2000 mAh Li-Ion Battery
LG Stylus 2 (Brown| 16 GB),10200,10200,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 2 TB,14.48 cm (5.7 inch) HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Battery
Mi 4i (Grey| 16 GB),11999,11999,Out Of Stock,4.2,2 GB RAM | 16 GB ROM |,12.7 cm (5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,3030 mAh Li-ion Polymer Battery
Moto G (Black| 16 GB),9999,9999,Out Of Stock,4.4,1 GB RAM | 16 GB ROM |,11.43 cm (4.5 inch) HD Display,5MP Rear Camera | 1.3MP Front Camera,2070 mAh Battery
Lava Iris X5 (White| 8 GB),3999,3999,Out Of Stock,4.1,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,2100 mAh Li-Ion Battery
Redmi 4A (Gold| 32 GB),6999,6999,Out Of Stock,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3120 mAh Li-polymer Battery
Honor 6X (Grey| 64 GB),9999,9999,Out Of Stock,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,12MP + 2MP | 8MP Front Camera,3340 mAh Battery
Sony Xperia M (White| 4 GB),9990,9990,Out Of Stock,4.2,1 GB RAM | 4 GB ROM | Expandable Upto 32 GB,10.16 cm (4 inch) FWVGA Display,5MP Rear Camera | 0.3MP Front Camera,1700 mAh Li-Ion Battery
Honor 9N (Purple| 32 GB),13999,11999,Out Of Stock,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery
Moto E (2nd Gen) 3G (White| 8 GB),5999,5999,Out Of Stock,4.1,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,11.43 cm (4.5 inch) quarter HD Display,5MP Rear Camera | 0.3MP Front Camera,2390 mAh Battery
Samsung Galaxy Grand 2 (Black| 8 GB),9999,9999,Out Of Stock,4.1,1.5 GB RAM | 8 GB ROM | Expandable Upto 64 GB,13.31 cm (5.24 inch) HD Display,8MP Rear Camera | 1.9MP Front Camera,2600 mAh Li-Ion Battery
Vivo V5 (Space Grey| 32 GB),12490,12490,Out Of Stock,4.2,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 20MP Front Camera,3000 mAh Battery
M-tech Eros Plus (Rose Gold| 8 GB),3550,3550,Out Of Stock,4.5,1 GB RAM | 8 GB ROM | Expandable Upto 64 GB,12.7 cm (5 inch) FWVGA Display,5MP Rear Camera | 0.3MP Front Camera,2000 mAh Battery
Redmi 3S Prime (Dark Grey| 32 GB),8999,8999,Out Of Stock,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Ion Polymer Battery
Redmi Y1 lite (Gold| 16 GB),7499,7499,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3080 mAh Battery
Redmi 2 (White| 8 GB),5999,5999,Out Of Stock,4.2,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,11.94 cm (4.7 inch) HD Display,8MP Rear Camera | 2MP Front Camera,2200 mAh Li-Ion Polymer Battery
Samsung Galaxy J5 (White| 8 GB),11390,7990,Out Of Stock,4.3,1.5 GB RAM | 8 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2600 mAh Battery
Moto G (3rd Generation) (Black| 16 GB),10999,10999,Out Of Stock,4.3,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2470 mAh Battery
Moto G (3rd Generation) (Black| 8 GB),9999,9999,Out Of Stock,4.2,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2470 mAh Battery
Honor 5C (Gold| 16 GB),9999,8999,Out Of Stock,4.2,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Li-Polymer Battery
Honor 5C (Silver| 16 GB),9999,8999,Out Of Stock,4.2,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Li-Polymer Battery
Redmi 3S Prime (Silver| 32 GB),8999,8999,Out Of Stock,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Ion Polymer Battery
Redmi Note 5 (Rose Gold| 32 GB),9999,9999,Out Of Stock,4.4,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li Polymer Battery
Redmi Note 4 (Lake Blue| 64 GB),12999,10999,Out Of Stock,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Polymer Battery
Honor 4X Limited Version (Black| 8 GB),6899,6899,Out Of Stock,4.4,2 GB RAM | 8 GB ROM | Expandable Upto 32 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery
Redmi 3S (Silver| 16 GB),6999,6999,Out Of Stock,4.3,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Ion Polymer Battery
Samsung Galaxy J5 (Black| 8 GB),8999,8999,Out Of Stock,4.3,1.5 GB RAM | 8 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2600 mAh Battery
OPPO A83 (2018 Edition) (Blue| 64 GB),12999,12999,Out Of Stock,4.2,4 GB RAM | 64 GB ROM |,14.48 cm (5.7 inch) Display,13MP Rear Camera | 8MP Front Camera,3180 mAh Battery
Redmi Y1 (Grey| 64 GB),11975,11975,Out Of Stock,4.1,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 16MP Front Camera,3080 mAh Battery
Redmi 4A (Dark Grey| 32 GB),6999,6999,Out Of Stock,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3120 mAh Li-polymer Battery
Redmi Y1 lite (Rose Gold| 16 GB),7999,7999,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3080 mAh Battery
Samsung Galaxy Note 3 Neo (White| 16 GB),11250,11250,Out Of Stock,4.2,2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,13.97 cm (5.5 inch) HD Display,8MP Rear Camera | 2MP Front Camera,3100 mAh Li-Ion Battery
Moto G5 Plus (Fine Gold| 16 GB),10500,10500,Out Of Stock,4.3,3 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,12MP Rear Camera | 5MP Front Camera,3000 mAh Battery
Yu Ace (Elektric Blue| 16 GB),7999,5999,Coming Soon,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,4000 mAh Polymer Battery
Yu Ace (Rose Gold| 16 GB),7999,5999,Coming Soon,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,4000 mAh Polymer Battery
Vivo Y31L (Black| 16 GB),8490,8490,Out Of Stock,4.1,1 GB RAM | 16 GB ROM |,11.94 cm (4.7 inch) quarter HD Display,8MP Rear Camera | 5MP Front Camera,2200 mAh Battery
Lenovo Vibe K5 Note (Grey| 32 GB),12499,12499,Out Of Stock,4.1,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3500 mAh Li-Ion Polymer Battery
Realme 2 (Diamond Black| 64 GB),11990,10990,Coming Soon,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Li-ion Battery
Realme 2 (Diamond Red| 32 GB),9990,8990,Coming Soon,4.5,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Li-ion Battery
Realme 2 (Diamond Red| 64 GB),11990,10990,Coming Soon,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Li-ion Battery
Asus Zenfone 2 Laser ZE550KL (Black| 16 GB),8499,8499,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-Polymer Battery
Lenovo Vibe K5 Note (Gold| 32 GB),12499,12499,Out Of Stock,4.1,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3500 mAh Li-Ion Polymer Battery
Infinix HOT 6 Pro (City Blue| 32 GB),8999,7999,Out Of Stock,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Li-ion Polymer Battery
Micromax Q345 (Grey| 8 GB),5399,5399,Out Of Stock,4.2,1 GB RAM | 8 GB ROM |,12.7 cm (5 inch) HD Display,8MP Rear Camera,2800 mAh Battery
Panasonic P51 (White| 4 GB),6299,6299,Out Of Stock,4.2,1 GB RAM | 4 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 1.3MP Front Camera,2500 mAh Li-Ion Battery
Lava Iris 504Q (Grey| 4 GB),9499,9499,Out Of Stock,4.6,1 GB RAM | 4 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 2MP Front Camera,2000 mAh Li-Polymer Battery
Karbonn Sparkle V (Wild Red| 4 GB),2899,2899,Out Of Stock,4.1,1 GB RAM | 4 GB ROM | Expandable Upto 32 GB,11.43 cm (4.5 inch) FWVGA Display,5MP Rear Camera | 2MP Front Camera,1700 mAh Li-Polymer Battery
XOLO Q2100 (White| 8 GB),7000,7000,Out Of Stock,4.2,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,13.97 cm (5.5 inch) HD Display,8MP Rear Camera | 2MP Front Camera,2800 mAh Li-Polymer Battery
Intex Aqua Curve (Blue| 4 GB),9582,9582,Out Of Stock,4.3,1 GB RAM | 4 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) quarter HD Display,8MP Rear Camera | 2MP Front Camera,2000 mAh Li-Ion Battery
Karbonn Sparkle V (White| 4 GB),3999,3999,Out Of Stock,4.1,1 GB RAM | 4 GB ROM | Expandable Upto 32 GB,11.43 cm (4.5 inch) FWVGA Display,5MP Rear Camera | 2MP Front Camera,1700 mAh Li-Polymer Battery
Gionee Elife E7 (White| 16 GB),9000,9000,Out Of Stock,4.1,2 GB RAM | 16 GB ROM |,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera | 8MP Front Camera,2500 mAh Polymer Battery
Gionee Elife E7 (White| 16 GB),9000,9000,Out Of Stock,4.1,2 GB RAM | 16 GB ROM |,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera | 8MP Front Camera,2500 mAh Polymer Battery
Panasonic P81 (Black| 8 GB),11900,11900,Out Of Stock,4.1,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 2MP Front Camera,2500 mAh Li-Ion Battery
Asus Zenfone 2 Laser ZE550KL (Gold| 16 GB),7999,7999,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-Polymer Battery
Micromax Canvas Juice A177 (White| 4 GB),8291,8291,Out Of Stock,4.4,1 GB RAM | 4 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) FWVGA Display,5MP Rear Camera | 0.3MP Front Camera,3000 mAh Battery
Honor 6X (Gold| 64 GB),11999,11999,Out Of Stock,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,12MP + 2MP | 8MP Front Camera,3340 mAh Battery
Asus Zenfone 2 Laser 5.5 (Red| 16 GB),9999,9999,Out Of Stock,4.2,3 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-Polymer Battery
Gionee M7 Power (Blue| 64 GB),11999,11999,Out Of Stock,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.24 cm (6.0 inch) HD+ Display,13MP Rear Camera | 8MP Front Camera,5000 mAh Li-poly Battery
Adcom Smartphone (White| 4 GB),3999,3999,Out Of Stock,4.2,1 GB RAM | 4 GB ROM | Expandable Upto 32 GB,8.89 cm (3.5 inch) FWVGA Display,3.2MP Rear Camera | 1.3MP Front Camera,2000 mAh Li-Ion Battery
mPhone 7 Plus (White| 64 GB),8599,8599,Out Of Stock,4.2,4 GB RAM | 64 GB ROM |,13.97 cm (5.5 inch) Display,16MP Rear Camera,3000 mAh Battery
Gionee Elife E7 (Black| 16 GB),9000,9000,Out Of Stock,4.1,2 GB RAM | 16 GB ROM |,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera | 8MP Front Camera,2500 mAh Polymer Battery
HTC One (M8 Eye) (Grey| 16 GB),12999,12999,Out Of Stock,4.2,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,2600 mAh Li-Polymer Battery
Lenovo Vibe K5 Note (Gold| 64 GB),11380,11380,Out Of Stock,4.1,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3500 mAh Li-Ion Polymer Battery
HTC One M8 (Amber Gold| 16 GB),11999,11999,Out Of Stock,4.5,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) Full HD Display,5MP Front Camera,2600 mAh Li-Polymer Battery
Lava Iris X5 4G (Royal Black| 16 GB),5999,5999,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 8MP Front Camera,2500 mAh Li-Polymer Battery
Asus Zenfone Max ZC550KL (Black| 32 GB),11999,11999,Out Of Stock,4.1,3 GB RAM | 32 GB ROM | Expandable Upto 64 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery
Sony Xperia SP (Black| 8 GB),9890,9890,Out Of Stock,4.1,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,11.68 cm (4.6 inch) HD Display,8MP Rear Camera | 0.3MP Front Camera,2370 mAh Battery
LG Stylus 2 Plus (Titan| 16 GB),9999,9999,Out Of Stock,4.1,3 GB RAM | 16 GB ROM | Expandable Upto 200 GB,14.48 cm (5.7 inch) Full HD Display,16MP Rear Camera | 8MP Front Camera,3000 mAh Battery
Nokia X2 Dual SIM (Bright Orange| 4 GB),8500,8500,Out Of Stock,4.1,1 GB RAM | 4 GB ROM | Expandable Upto 32 GB,10.9 cm (4.29 inch) WVGA Display,5MP Rear Camera,1800 mAh Battery
Asus Zenfone Max ZC550KL (Orange| 32 GB),12999,12999,Out Of Stock,4.1,3 GB RAM | 32 GB ROM | Expandable Upto 64 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery
Samsung Galaxy A5 2016 Edition (Gold| 16 GB),9999,9999,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,2900 mAh Li-Ion Battery
Asus Zenfone 5 (Red| 16 GB),6399,6399,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 2MP Front Camera,2110 mAh Lithium Battery
Asus Zenfone 3 (Gold| 64 GB),8499,8499,Out Of Stock,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera | 8MP Front Camera,3000 mAh Battery
Samsung Galaxy A5 (Champagne Gold| 16 GB),11900,11900,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2300 mAh Battery
Mi 4i (White| 16 GB),7990,7990,Out Of Stock,4.2,2 GB RAM | 16 GB ROM |,12.7 cm (5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,3030 mAh Li-ion Polymer Battery
Asus Zenfone 5 (Black| 16 GB),5249,5249,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 2MP Front Camera,2110 mAh Lithium Battery
Lenovo P2 (Gold| 32 GB),9950,9950,Out Of Stock,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,5100 mAh Battery
Lenovo P2 (Grey/Graphite Grey| 32 GB),9950,9950,Out Of Stock,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,5100 mAh Battery
LG L90 Dual (White| 8 GB),11990,11990,Out Of Stock,4.2,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,10.16 cm (4 inch) quarter HD Display,8MP Rear Camera | 0.3MP Front Camera,2540 mAh Li-Ion Battery
Spice Dream UNO Mi-498H(Android One) (Black| 4 GB),3999,3999,Out Of Stock,4.2,1 GB RAM | 4 GB ROM |,11.43 cm (4.5 inch) FWVGA Display,5MP Rear Camera,1700 mAh Battery
Lenovo P2 (Gold| 32 GB),9999,9999,Out Of Stock,4.3,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,5100 mAh Battery
Lenovo VIBE P1 (Grey| 32 GB),8999,8999,Out Of Stock,4.1,2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4900 mAh Li-Polymer Battery
